class,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,X,Y
Water,1033,1020,1029,1009,1183,1127,1045,1021,341086.850,3765529.344
Water,1034,1019,1022,1008,1175,1126,1045,1021,341084.530,3765534.506
Water,1034,1019,1022,1008,1175,1126,1045,1021,341084.563,3765531.695
Water,1034,1019,1022,1008,1175,1126,1045,1021,341086.320,3765531.853
Water,1031,1016,1021,1007,1161,1135,1045,1020,341091.187,3765533.707
Water,1034,1019,1022,1008,1175,1126,1045,1021,341082.994,3765538.052
Water,1033,1020,1029,1009,1183,1127,1045,1021,341084.085,3765528.887
Water,1034,1019,1022,1008,1175,1126,1045,1021,341088.631,3765538.855
Water,1033,1020,1029,1009,1183,1127,1045,1021,341087.569,3765529.934
Water,1034,1019,1022,1008,1175,1126,1045,1021,341082.918,3765537.608
Water,1034,1019,1022,1008,1175,1126,1045,1021,341089.546,3765532.675
Water,1033,1020,1029,1009,1183,1127,1045,1021,341081.811,3765528.548
Water,1034,1019,1022,1008,1175,1126,1045,1021,341085.720,3765539.291
Water,1033,1020,1029,1009,1183,1127,1045,1021,341081.345,3765528.534
Water,1034,1019,1022,1008,1175,1126,1045,1021,341082.467,3765534.916
Water,1031,1016,1021,1007,1161,1135,1045,1020,341090.225,3765536.412
Water,1033,1020,1029,1009,1183,1127,1045,1021,341082.279,3765528.933
Water,1031,1016,1021,1007,1161,1135,1045,1020,341090.479,3765532.499
Water,1034,1019,1022,1008,1175,1126,1045,1021,341083.504,3765537.241
Water,1034,1019,1022,1008,1175,1126,1045,1021,341089.534,3765531.235
Water,1034,1019,1022,1008,1175,1126,1045,1021,341087.243,3765538.727
Water,1034,1019,1022,1008,1175,1126,1045,1021,341082.300,3765533.172
Water,1034,1019,1022,1008,1175,1126,1045,1021,341087.882,3765535.174
Water,1034,1019,1022,1008,1175,1126,1045,1021,341087.970,3765534.912
Water,1031,1016,1021,1007,1161,1135,1045,1020,341090.017,3765532.898
Water,1034,1019,1022,1008,1175,1126,1045,1021,341082.579,3765538.570
Water,1034,1019,1022,1008,1175,1126,1045,1021,341088.098,3765537.037
Water,1034,1019,1022,1008,1175,1126,1045,1021,341088.489,3765531.221
Water,1034,1019,1022,1008,1175,1126,1045,1021,341082.075,3765535.623
Water,1034,1019,1022,1008,1175,1126,1045,1021,341083.776,3765538.611
Water,1034,1019,1022,1008,1175,1126,1045,1021,341083.907,3765533.686
Water,1034,1019,1022,1008,1175,1126,1045,1021,341083.344,3765533.535
Water,1034,1019,1022,1008,1175,1126,1045,1021,341084.841,3765538.789
Water,1033,1020,1029,1009,1183,1127,1045,1021,341082.470,3765529.945
Water,1034,1019,1022,1008,1175,1126,1045,1021,341088.038,3765537.531
Water,1034,1019,1022,1008,1175,1126,1045,1021,341081.766,3765534.262
Water,1034,1019,1022,1008,1175,1126,1045,1021,341088.761,3765532.881
Water,1034,1019,1022,1008,1175,1126,1045,1021,341087.105,3765534.547
Water,1034,1019,1022,1008,1175,1126,1045,1021,341085.212,3765538.198
Water,1034,1019,1022,1008,1175,1126,1045,1021,341083.860,3765533.321
Water,1033,1020,1029,1009,1183,1127,1045,1021,341087.926,3765529.181
Water,1034,1019,1022,1008,1175,1126,1045,1021,341086.413,3765534.541
Water,1034,1019,1022,1008,1175,1126,1045,1021,341087.868,3765534.368
Water,1033,1020,1029,1009,1183,1127,1045,1021,341084.732,3765528.879
Water,1034,1019,1022,1008,1175,1126,1045,1021,341085.663,3765533.879
Water,1031,1016,1021,1007,1161,1135,1045,1020,341090.090,3765535.450
Water,1031,1016,1021,1007,1161,1135,1045,1020,341092.189,3765532.396
Water,1034,1019,1022,1008,1175,1126,1045,1021,341089.104,3765533.185
Water,1034,1019,1022,1008,1175,1126,1045,1021,341086.539,3765533.867
Water,1031,1016,1021,1007,1161,1135,1045,1020,341090.566,3765536.754
Water,1031,1016,1021,1007,1161,1135,1045,1020,341090.928,3765534.124
Water,1034,1019,1022,1008,1175,1126,1045,1021,341081.535,3765536.837
Water,1034,1019,1022,1008,1175,1126,1045,1021,341081.208,3765534.236
Water,1034,1019,1022,1008,1175,1126,1045,1021,341085.958,3765537.653
Water,1034,1019,1022,1008,1175,1126,1045,1021,341087.051,3765539.409
Water,1031,1016,1021,1007,1161,1135,1045,1020,341090.326,3765538.230
Water,1034,1019,1022,1008,1175,1126,1045,1021,341082.216,3765530.429
Water,1031,1016,1021,1007,1161,1135,1045,1020,341090.828,3765534.363
Water,1033,1020,1029,1009,1183,1127,1045,1021,341085.280,3765528.888
Water,1033,1020,1029,1009,1183,1127,1045,1021,341081.493,3765527.803
Water,1034,1019,1022,1008,1175,1126,1045,1021,341088.187,3765534.128
Water,1031,1016,1021,1007,1161,1135,1045,1020,341090.734,3765539.293
Water,1034,1019,1022,1008,1175,1126,1045,1021,341089.125,3765539.708
Water,1034,1019,1022,1008,1175,1126,1045,1021,341086.126,3765531.919
Water,1034,1019,1022,1008,1175,1126,1045,1021,341087.182,3765537.600
Water,1034,1019,1022,1008,1175,1126,1045,1021,341087.654,3765530.425
Water,1034,1019,1022,1008,1175,1126,1045,1021,341083.573,3765533.433
Water,1034,1019,1022,1008,1175,1126,1045,1021,341088.837,3765530.394
Water,1031,1016,1021,1007,1161,1135,1045,1020,341090.096,3765530.804
Water,1034,1019,1022,1008,1175,1126,1045,1021,341086.897,3765535.429
Water,1033,1020,1029,1009,1183,1127,1045,1021,341085.262,3765529.877
Water,1034,1019,1022,1008,1175,1126,1045,1021,341088.671,3765534.566
Water,1033,1020,1029,1009,1183,1127,1045,1021,341081.916,3765529.075
Water,1031,1016,1021,1007,1161,1135,1045,1020,341090.540,3765536.098
Water,1034,1019,1022,1008,1175,1126,1045,1021,341085.204,3765537.554
Water,1034,1019,1022,1008,1175,1126,1045,1021,341089.541,3765538.055
Water,1034,1019,1022,1008,1175,1126,1045,1021,341086.572,3765536.647
Water,1034,1019,1022,1008,1175,1126,1045,1021,341089.942,3765534.230
Water,1034,1019,1022,1008,1175,1126,1045,1021,341085.042,3765530.567
Water,1034,1019,1022,1008,1175,1126,1045,1021,341083.495,3765536.204
Water,1033,1020,1029,1009,1183,1127,1045,1021,341087.400,3765529.230
Water,1033,1020,1029,1009,1183,1127,1045,1021,341085.005,3765529.246
Water,1034,1019,1022,1008,1175,1126,1045,1021,341081.909,3765531.578
Water,1033,1020,1029,1009,1183,1127,1045,1021,341083.640,3765529.372
Water,1034,1019,1022,1008,1175,1126,1045,1021,341088.420,3765538.246
Water,1034,1019,1022,1008,1175,1126,1045,1021,341089.395,3765531.625
Water,1034,1019,1022,1008,1175,1126,1045,1021,341085.803,3765532.413
Water,1034,1019,1022,1008,1175,1126,1045,1021,341089.317,3765531.860
Water,1034,1019,1022,1008,1175,1126,1045,1021,341086.416,3765533.219
Water,1033,1020,1029,1009,1183,1127,1045,1021,341082.104,3765529.321
Water,1033,1020,1029,1009,1183,1127,1045,1021,341082.803,3765529.887
Water,1034,1019,1022,1008,1175,1126,1045,1021,341085.887,3765534.217
Water,1034,1019,1022,1008,1175,1126,1045,1021,341084.245,3765536.156
Water,1034,1019,1022,1008,1175,1126,1045,1021,341082.187,3765536.591
Water,1033,1020,1029,1009,1183,1127,1045,1021,341086.052,3765528.915
Water,1034,1019,1022,1008,1175,1126,1045,1021,341085.517,3765534.669
Water,1034,1019,1022,1008,1175,1126,1045,1021,341086.851,3765534.255
Water,1031,1016,1021,1007,1161,1135,1045,1020,341091.572,3765533.494
Water,1034,1019,1022,1008,1175,1126,1045,1021,341089.182,3765530.801
Water,1033,1020,1029,1009,1183,1127,1045,1021,341085.233,3765528.390
Water,1034,1019,1022,1008,1175,1126,1045,1021,341082.210,3765536.746
Water,1034,1019,1022,1008,1175,1126,1045,1021,341088.100,3765537.009
Water,1033,1020,1029,1009,1183,1127,1045,1021,341087.594,3765529.352
Water,1034,1019,1022,1008,1175,1126,1045,1021,341087.086,3765534.441
Water,1031,1016,1021,1007,1161,1135,1045,1020,341090.108,3765532.423
Water,1034,1019,1022,1008,1175,1126,1045,1021,341085.444,3765538.536
Water,1034,1019,1022,1008,1175,1126,1045,1021,341087.928,3765535.136
Water,1034,1019,1022,1008,1175,1126,1045,1021,341082.017,3765532.314
Water,1034,1019,1022,1008,1175,1126,1045,1021,341083.899,3765535.585
Water,1034,1019,1022,1008,1175,1126,1045,1021,341085.657,3765534.024
Water,1034,1019,1022,1008,1175,1126,1045,1021,341081.158,3765531.940
Water,1031,1016,1021,1007,1161,1135,1045,1020,341090.702,3765534.103
Water,1033,1020,1029,1009,1183,1127,1045,1021,341087.620,3765529.506
Water,1034,1019,1022,1008,1175,1126,1045,1021,341088.602,3765532.514
Water,1034,1019,1022,1008,1175,1126,1045,1021,341089.287,3765535.716
Water,1034,1019,1022,1008,1175,1126,1045,1021,341082.194,3765532.480
Water,1034,1019,1022,1008,1175,1126,1045,1021,341085.446,3765538.178
Water,1034,1019,1022,1008,1175,1126,1045,1021,341086.898,3765538.663
Water,1034,1019,1022,1008,1175,1126,1045,1021,341089.173,3765533.320
Water,1034,1019,1022,1008,1175,1126,1045,1021,341082.742,3765534.376
Water,1034,1019,1022,1008,1175,1126,1045,1021,341086.758,3765535.226
Water,1034,1019,1022,1008,1175,1126,1045,1021,341088.808,3765537.622
Water,1034,1019,1022,1008,1175,1126,1045,1021,341085.814,3765534.057
Water,1031,1016,1021,1007,1161,1135,1045,1020,341092.328,3765530.733
Water,1031,1016,1021,1007,1161,1135,1045,1020,341090.380,3765532.949
Water,1034,1019,1022,1008,1175,1126,1045,1021,341084.646,3765535.840
Water,1031,1016,1021,1007,1161,1135,1045,1020,341090.485,3765532.707
Water,1033,1020,1029,1009,1183,1127,1045,1021,341085.366,3765529.213
Water,1033,1020,1029,1009,1183,1127,1045,1021,341086.876,3765528.739
Water,1031,1016,1021,1007,1161,1135,1045,1020,341091.582,3765533.145
Water,1034,1019,1022,1008,1175,1126,1045,1021,341084.576,3765536.984
