class,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,X,Y
Water,1030,1005,1009,1023,1153,1132,1033,1017,345847.945,3767215.146
Water,1034,1003,1002,1020,1190,1164,1027,991,345789.173,3767282.438
Water,1022,1007,1001,1026,1158,1120,1035,1016,345858.890,3767192.967
Water,1022,1007,1001,1026,1158,1120,1035,1016,345851.426,3767193.352
Water,1023,1001,1009,1024,1213,1191,1042,986,345717.943,3767266.458
Water,1017,999,1004,1027,1142,1128,1012,1003,345871.663,3767157.325
Water,1031,1015,1015,1019,1173,1151,1039,1018,345808.256,3767279.765
Water,1025,1003,1005,1017,1149,1147,1031,999,345819.309,3767186.992
Water,1025,996,1008,1022,1169,1148,1043,990,345778.231,3767244.545
Water,1024,1018,1009,1025,1177,1194,1042,997,345681.275,3767279.529
Water,1026,1003,1015,1019,1162,1120,1035,1006,345894.846,3767271.966
Water,1025,998,1003,1012,1166,1158,1027,993,345752.130,3767250.108
Water,1020,1007,1007,1025,1207,1168,1029,0,345746.061,3767281.839
Water,1024,1001,1009,1021,1224,1191,1039,992,345717.502,3767272.094
Water,1030,1004,1005,1016,1137,1154,1032,996,345851.605,3767235.767
Water,1025,1016,1006,1024,1179,1129,1020,1000,345783.245,3767224.967
Water,1025,1013,999,1018,1168,1131,1020,1014,345810.766,3767259.766
Water,1025,1018,1008,1016,1151,1123,1024,999,345807.464,3767238.471
Water,1022,999,1008,1023,1224,1174,1039,1008,345726.924,3767281.371
Water,1017,1001,1006,1023,1166,1119,1024,1002,345860.786,3767158.185
Water,1030,1003,1012,1025,1134,1144,1043,1013,345852.899,3767265.258
Water,1025,1004,1005,1022,1144,1153,1028,993,345774.513,3767239.446
Water,1017,1001,1006,1023,1166,1119,1024,1002,345860.843,3767151.711
Water,1025,1010,1008,1018,1144,1178,1032,997,345821.734,3767237.619
Water,1024,1004,1012,1020,1138,1138,1035,1005,345862.072,3767218.956
Water,1026,1006,1006,1016,1162,1118,1036,1002,345788.199,3767242.153
Water,1023,1004,1007,1031,1135,1128,1040,998,345884.590,3767245.234
Water,1026,1001,1005,1016,1170,1154,1021,1004,345819.113,3767196.857
Water,1023,1006,996,1023,1149,1153,1040,1006,345823.268,3767255.102
Water,1025,1006,1004,1016,1158,1139,1045,1011,345824.781,3767275.765
Water,1020,1004,1014,1020,1167,1146,1044,989,345875.341,3767220.844
Water,1021,1004,1005,1031,1138,1134,1032,997,345871.374,3767256.202
Water,1029,998,992,1021,1162,1153,1038,998,345776.480,3767283.669
Water,1024,1015,1008,1026,1180,1190,1043,991,345688.750,3767282.857
Water,1024,1004,1002,1017,1184,1138,1034,1017,345767.192,3767223.606
Water,1034,1005,1015,1017,1165,1143,1032,1016,345791.481,3767279.952
Water,1023,1001,998,1023,1131,1136,1037,1009,345830.928,3767182.629
Water,1031,1003,1012,1025,1162,1141,1032,1004,345856.700,3767250.601
Water,1023,1004,1007,1031,1135,1128,1040,998,345885.317,3767249.196
Water,1023,1006,996,1023,1149,1153,1040,1006,345822.604,3767255.003
Water,1024,998,1006,1017,1178,1178,1040,999,345756.405,3767265.753
Water,1022,1006,1005,1018,1171,1137,1035,1008,345879.932,3767196.119
Water,1026,1016,1016,1021,1091,1128,1030,1026,345789.708,3767206.484
Water,1024,1011,1007,1025,1201,1180,1036,1011,345692.293,3767283.800
Water,1017,1000,1006,1020,1149,1126,1032,1009,345869.075,3767138.171
Water,1023,1005,1006,1026,1135,1128,1036,1012,345861.464,3767249.959
Water,1026,1001,1002,1022,1169,1152,1027,997,345738.132,3767244.982
Water,1025,1018,1007,1023,1151,1134,1021,1005,345791.941,3767220.405
Water,1014,997,1007,1026,1152,1148,1027,1006,345878.804,3767148.415
Water,1030,1003,1012,1025,1134,1144,1043,1013,345855.583,3767269.412
Water,1013,1021,1019,1023,1146,1112,1036,1004,347624.025,3766664.042
