class,BAND_1,BAND_2,BAND_3,BAND_4,BAND_5,BAND_6,BAND_7,BAND_8,X,Y
Water,1030,1017,1029,1008,1154,1137,1045,1020,341090.744,3765528.768
Water,1031,1016,1021,1007,1161,1135,1045,1020,341092.089,3765532.476
Water,1034,1019,1022,1008,1175,1126,1045,1021,341084.009,3765532.680
Water,1033,1020,1029,1009,1183,1127,1045,1021,341082.578,3765529.287
Water,1034,1019,1022,1008,1175,1126,1045,1021,341083.718,3765530.318
Water,1034,1019,1022,1008,1175,1126,1045,1021,341086.448,3765536.354
Water,1034,1019,1022,1008,1175,1126,1045,1021,341088.492,3765537.636
Water,1033,1020,1029,1009,1183,1127,1045,1021,341084.166,3765528.035
Water,1034,1019,1022,1008,1175,1126,1045,1021,341082.156,3765530.759
Water,1034,1019,1022,1008,1175,1126,1045,1021,341089.690,3765533.139
Water,1034,1019,1022,1008,1175,1126,1045,1021,341083.212,3765533.418
Water,1034,1019,1022,1008,1175,1126,1045,1021,341089.611,3765533.626
Water,1034,1019,1022,1008,1175,1126,1045,1021,341082.658,3765534.918
Water,1034,1019,1022,1008,1175,1126,1045,1021,341087.526,3765536.178
Water,1033,1020,1029,1009,1183,1127,1045,1021,341084.522,3765528.889
Water,1034,1019,1022,1008,1175,1126,1045,1021,341081.509,3765530.774
Water,1034,1019,1022,1008,1175,1126,1045,1021,341081.500,3765530.652
Water,1034,1019,1022,1008,1175,1126,1045,1021,341086.745,3765536.615
Water,1034,1019,1022,1008,1175,1126,1045,1021,341087.999,3765534.519
Water,1031,1016,1021,1007,1161,1135,1045,1020,341090.579,3765538.333
Water,1033,1020,1029,1009,1183,1127,1045,1021,341088.371,3765529.746
Water,1033,1020,1029,1009,1183,1127,1045,1021,341088.410,3765529.205
Water,1034,1019,1022,1008,1175,1126,1045,1021,341085.898,3765539.192
Water,1034,1019,1022,1008,1175,1126,1045,1021,341084.965,3765535.478
Water,1034,1019,1022,1008,1175,1126,1045,1021,341082.645,3765534.142
Water,1034,1019,1022,1008,1175,1126,1045,1021,341084.820,3765539.152
Water,1030,1017,1029,1008,1154,1137,1045,1020,341092.696,3765529.228
Water,1033,1020,1029,1009,1183,1127,1045,1021,341086.601,3765528.666
Water,1034,1019,1022,1008,1175,1126,1045,1021,341081.722,3765530.359
Water,1034,1019,1022,1008,1175,1126,1045,1021,341088.980,3765531.369
Water,1031,1016,1021,1007,1161,1135,1045,1020,341091.177,3765531.723
Water,1031,1016,1021,1007,1161,1135,1045,1020,341090.601,3765539.181
Water,1034,1019,1022,1008,1175,1126,1045,1021,341084.373,3765530.938
Water,1033,1020,1029,1009,1183,1127,1045,1021,341084.456,3765528.401
Water,1034,1019,1022,1008,1175,1126,1045,1021,341084.514,3765533.128
Water,1034,1019,1022,1008,1175,1126,1045,1021,341089.258,3765530.377
Water,1034,1019,1022,1008,1175,1126,1045,1021,341088.259,3765533.664
Water,1034,1019,1022,1008,1175,1126,1045,1021,341085.106,3765537.525
Water,1033,1020,1029,1009,1183,1127,1045,1021,341081.874,3765529.104
Water,1034,1019,1022,1008,1175,1126,1045,1021,341082.994,3765537.441
Water,1034,1019,1022,1008,1175,1126,1045,1021,341085.491,3765535.650
Water,1034,1019,1022,1008,1175,1126,1045,1021,341081.660,3765536.568
Water,1031,1016,1021,1007,1161,1135,1045,1020,341090.027,3765539.390
Water,1034,1019,1022,1008,1175,1126,1045,1021,341082.570,3765532.369
Water,1034,1019,1022,1008,1175,1126,1045,1021,341084.069,3765537.886
Water,1034,1019,1022,1008,1175,1126,1045,1021,341088.061,3765539.062
Water,1034,1019,1022,1008,1175,1126,1045,1021,341082.704,3765534.196
Water,1034,1019,1022,1008,1175,1126,1045,1021,341085.794,3765530.882
Water,1033,1020,1029,1009,1183,1127,1045,1021,341083.573,3765528.890
Water,1034,1019,1022,1008,1175,1126,1045,1021,341081.792,3765538.516
Water,1035,1032,1020,1016,1168,1126,1046,1024,341322.757,3765463.374
Water,1035,1032,1020,1016,1168,1126,1046,1024,341327.318,3765462.626
Water,1039,1035,1020,1017,1156,1134,1044,1034,341327.270,3765458.830
Water,1039,1035,1020,1017,1156,1134,1044,1034,341329.684,3765459.487
Water,1035,1032,1019,1017,1154,1108,1039,1015,341319.199,3765455.622
Water,1031,1031,1020,1016,1155,1148,1046,1018,341318.893,3765460.034
Water,1035,1032,1020,1016,1168,1126,1046,1024,341322.456,3765461.289
Water,1035,1032,1020,1016,1168,1126,1046,1024,341326.058,3765465.933
Water,1031,1031,1020,1016,1155,1148,1046,1018,341317.136,3765463.703
Water,1035,1032,1019,1017,1154,1108,1039,1015,341317.609,3765459.689
Water,1039,1037,1020,1016,1181,1126,1046,1022,341331.450,3765455.930
Water,1039,1035,1020,1017,1156,1134,1044,1034,341324.298,3765453.447
Water,1031,1031,1020,1016,1155,1148,1046,1018,341318.030,3765464.358
Water,1039,1035,1020,1017,1156,1134,1044,1034,341324.968,3765459.980
Water,1031,1031,1020,1016,1155,1148,1046,1018,341317.139,3765460.937
Water,1039,1035,1020,1017,1156,1134,1044,1034,341329.375,3765456.291
Water,1039,1035,1020,1017,1156,1134,1044,1034,341326.584,3765454.564
Water,1035,1032,1020,1016,1168,1126,1046,1024,341320.737,3765463.520
Water,1039,1035,1020,1017,1156,1134,1044,1034,341320.672,3765458.837
Water,1039,1035,1020,1017,1156,1134,1044,1034,341327.928,3765459.502
Water,1039,1035,1020,1017,1156,1134,1044,1034,341325.316,3765453.374
Water,1039,1035,1020,1017,1156,1134,1044,1034,341326.178,3765456.640
Water,1039,1035,1020,1017,1156,1134,1044,1034,341325.601,3765459.834
Water,1035,1032,1019,1017,1154,1108,1039,1015,341317.859,3765458.935
Water,1039,1035,1020,1017,1156,1134,1044,1034,341329.953,3765455.340
Water,1035,1032,1020,1016,1168,1126,1046,1024,341328.798,3765462.293
Water,1035,1032,1020,1016,1168,1126,1046,1024,341327.262,3765466.224
Water,1035,1032,1020,1016,1168,1126,1046,1024,341326.410,3765465.647
Water,1035,1032,1020,1016,1168,1126,1046,1024,341322.815,3765462.385
Water,1039,1035,1020,1017,1156,1134,1044,1034,341327.958,3765459.262
Water,1035,1032,1019,1017,1154,1108,1039,1015,341318.243,3765454.168
Water,1031,1031,1020,1016,1155,1148,1046,1018,341317.319,3765463.052
Water,1039,1035,1020,1017,1156,1134,1044,1034,341324.772,3765455.962
Water,1035,1032,1020,1016,1168,1126,1046,1024,341320.888,3765465.085
Water,1039,1035,1020,1017,1156,1134,1044,1034,341323.455,3765453.500
Water,1039,1035,1020,1017,1156,1134,1044,1034,341328.369,3765459.431
Water,1031,1031,1020,1016,1155,1148,1046,1018,341318.267,3765460.708
Water,1035,1032,1020,1016,1168,1126,1046,1024,341329.479,3765460.917
Water,1039,1037,1020,1016,1181,1126,1046,1022,341330.559,3765458.721
Water,1035,1032,1020,1016,1168,1126,1046,1024,341325.687,3765461.581
Water,1035,1032,1020,1016,1168,1126,1046,1024,341321.949,3765464.377
Water,1031,1031,1020,1016,1155,1148,1046,1018,341317.299,3765460.003
Water,1035,1032,1020,1016,1168,1126,1046,1024,341326.654,3765461.261
Water,1035,1032,1019,1017,1154,1108,1039,1015,341319.848,3765451.835
Water,1039,1035,1020,1017,1156,1134,1044,1034,341324.865,3765458.038
Water,1035,1032,1020,1016,1168,1126,1046,1024,341325.068,3765461.225
Water,1039,1035,1020,1017,1156,1134,1044,1034,341326.612,3765454.063
Water,1035,1032,1020,1016,1168,1126,1046,1024,341327.665,3765462.538
Water,1035,1032,1020,1016,1168,1126,1046,1024,341327.437,3765460.602
Water,1035,1032,1020,1016,1168,1126,1046,1024,341326.170,3765465.034
Water,1037,1031,1009,1008,1179,1116,1055,1025,343246.399,3765758.940
Water,1036,1028,1008,1008,1162,1112,1041,1011,343241.835,3765762.167
Water,1033,1023,1011,1008,1164,1121,1038,1025,343235.048,3765756.880
Water,1026,1026,1016,1004,1150,1087,1036,1016,343246.442,3765780.242
Water,1033,1026,1011,1007,1191,1093,1037,1016,343249.100,3765773.114
Water,1028,1016,1019,1011,1160,1120,1030,1018,343215.183,3765781.147
Water,1026,1026,1016,1004,1150,1087,1036,1016,343242.787,3765788.159
Water,1033,1023,1011,1008,1164,1121,1038,1025,343233.090,3765755.747
Water,1029,1015,1019,1008,1157,1096,1031,1022,343237.250,3765780.229
Water,1026,1026,1016,1004,1150,1087,1036,1016,343247.989,3765782.867
Water,1026,1026,1016,1004,1150,1087,1036,1016,343243.944,3765782.057
Water,1023,1033,1015,1005,1174,1137,1033,1015,343255.547,3765797.691
Water,1029,1012,1020,1010,1165,1123,1038,1023,343223.705,3765785.644
Water,1023,1032,1007,1011,1180,1104,1041,996,343265.084,3765777.378
Water,1030,1020,1014,1010,1157,1092,1025,1012,343233.507,3765776.423
Water,1035,1033,1006,1009,1180,1127,1043,1020,343250.189,3765744.350
Water,1023,1032,1007,1011,1180,1104,1041,996,343261.481,3765776.690
Water,1023,1032,1007,1011,1180,1104,1041,996,343260.814,3765775.377
Water,1034,1031,1006,1008,1155,1128,1045,1011,343257.948,3765769.931
Water,1029,1017,1016,1010,1175,1099,1038,1020,343229.037,3765763.574
Water,1028,1014,1022,1005,1188,1128,1030,1011,343230.261,3765792.847
Water,1035,1020,1011,1006,1130,1122,1045,1013,343234.545,3765746.351
Water,1024,1033,1012,1006,1175,1114,1046,1023,343254.220,3765785.044
Water,1028,1012,1022,1010,1170,1098,1047,1012,343216.260,3765765.960
Water,1033,1023,1011,1008,1164,1121,1038,1025,343230.792,3765759.111
Water,1032,1016,1014,1006,1179,1110,1026,1012,343228.323,3765743.008
Water,1029,1012,1021,1007,1179,1123,1034,1027,343222.750,3765795.809
Water,1029,1015,1018,1011,1139,1109,1044,1007,343222.206,3765771.679
Water,1024,1037,1008,1014,1160,1129,1044,1015,343264.814,3765797.400
Water,1027,1018,1022,1001,1176,1126,1039,1006,343231.721,3765800.582
Water,1030,1020,1014,1010,1157,1092,1025,1012,343231.244,3765772.409
Water,1028,1016,1022,1003,1169,1118,1044,1015,343221.038,3765801.762
Water,1024,1033,1012,1006,1175,1114,1046,1023,343257.979,3765784.396
Water,1029,1012,1021,1007,1179,1123,1034,1027,343228.860,3765791.343
Water,1034,1031,1006,1008,1155,1128,1045,1011,343259.426,3765768.854
